TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
56153.000000,0.990,-0.015,-0.168,0.03,0.04,-0.06,-42.08,1.04,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56163.000000,0.990,-0.013,-0.172,0.05,0.06,-0.08,-42.31,1.27,-25.21,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56173.000000,0.992,-0.016,-0.172,-0.01,0.10,-0.00,-42.04,1.35,-25.38,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56183.000000,0.989,-0.013,-0.170,0.11,-0.10,-0.00,-42.50,1.35,-25.63,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56193.000000,0.990,-0.013,-0.171,0.07,0.00,-0.02,-42.54,0.96,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56203.000000,0.993,-0.011,-0.172,0.05,0.12,-0.15,-41.81,1.13,-24.79,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56213.000000,0.989,-0.015,-0.175,0.03,0.16,0.06,-41.98,1.08,-25.04,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56223.000000,0.988,-0.013,-0.174,0.07,-0.08,-0.06,-41.75,1.18,-25.33,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56233.000000,0.989,-0.013,-0.174,0.13,0.04,0.02,-41.93,1.00,-25.58,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56243.000000,0.988,-0.012,-0.171,-0.05,-0.02,-0.06,-41.75,1.08,-25.17,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56253.000000,0.988,-0.015,-0.172,0.01,0.04,-0.02,-42.39,0.67,-25.54,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56263.000000,0.986,-0.013,-0.172,0.05,0.08,-0.02,-42.58,0.58,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56273.000000,0.986,-0.015,-0.171,-0.01,0.16,0.08,-42.21,0.63,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56283.000000,0.988,-0.015,-0.172,0.03,0.16,-0.02,-42.35,0.63,-24.83,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56293.000000,0.989,-0.012,-0.175,0.05,-0.02,-0.00,-42.43,0.73,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56303.000000,0.986,-0.015,-0.175,0.03,0.02,-0.06,-42.81,0.04,-25.58,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56313.000000,0.988,-0.013,-0.170,-0.03,0.04,-0.00,-42.39,0.08,-24.75,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56323.000000,0.986,-0.016,-0.171,0.01,0.08,0.02,-42.58,0.27,-25.04,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56333.000000,0.992,-0.013,-0.174,0.01,-0.06,-0.02,-42.58,0.39,-25.04,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56343.000000,0.993,-0.012,-0.168,0.09,-0.02,-0.02,-42.43,0.08,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56353.000000,0.989,-0.016,-0.175,0.03,0.10,-0.02,-42.73,0.54,-25.17,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56363.000000,0.990,-0.015,-0.174,0.03,0.00,0.02,-43.00,0.63,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56373.000000,0.985,-0.015,-0.172,0.09,0.16,-0.06,-42.81,0.96,-25.42,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56383.000000,0.990,-0.013,-0.172,-0.01,0.06,0.06,-43.00,0.43,-25.25,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56393.000000,0.989,-0.012,-0.175,0.03,0.08,-0.00,-42.77,0.35,-25.46,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56403.000000,0.989,-0.015,-0.170,0.01,0.12,-0.02,-41.67,1.31,-25.25,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56413.000000,0.989,-0.013,-0.171,-0.01,-0.02,-0.10,-41.63,1.46,-25.54,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56423.000000,0.988,-0.013,-0.174,0.09,0.06,-0.06,-41.71,1.58,-25.38,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56433.000000,0.989,-0.015,-0.174,0.13,0.06,0.04,-41.29,1.64,-25.38,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
