seq,orientation,angular velocity,linear acceleration,secs,nsecs
1105286,"(0.014827883802354336, -0.1904180347919464, -0.8961384892463684, 0.40056997537612915)","(-0.010219885036349297, 0.0053096795454621315, 0.007290406618267298)","(-0.009420776367187501, -0.0035888671875000003, 0.049945068359375004)",1624955780,936845779
1105287,"(0.01485377736389637, -0.19040228426456451, -0.8961430788040161, 0.4005662500858307)","(0.002563293557614088, 0.002646517474204302, 0.0014314496656879783)","(-0.13323669433593752, 0.05383300781250001, 0.2077056884765625)",1624955780,941743612
1105288,"(0.01486259512603283, -0.1904115229845047, -0.8961419463157654, 0.4005640149116516)","(0.0009653962915763259, 0.0031791499350219965, 0.007290406618267298)","(-0.0088226318359375, 0.1063201904296875, 0.102581787109375)",1624955780,946816921
1105289,"(0.01486290991306305, -0.19040384888648987, -0.89614337682724, 0.4005644619464874)","(0.0020306610967963934, 0.0031791499350219965, 0.0008988172630779445)","(0.0056823730468750005, 0.0345428466796875, 0.19335021972656252)",1624955780,951745033
1105290,"(0.014860094524919987, -0.19039754569530487, -0.8961443305015564, 0.40056538581848145)","(-0.0032956632785499096, 0.00584231223911047, 0.0024967147037386894)","(-0.008673095703125001, -0.0562255859375, -0.045907592773437506)",1624955780,956746339
1105291,"(0.014855243265628815, -0.19040124118328094, -0.89614337682724, 0.400566041469574)","(-0.001165133435279131, 0.002646517474204302, -0.0012317125219851732)","(0.034243774414062504, 0.020336914062500003, 0.030654907226562503)",1624955780,961765527
1105292,"(0.014860820025205612, -0.190405011177063, -0.8961430191993713, 0.4005647599697113)","(0.005759088322520256, 0.0053096795454621315, -0.0006990800611674786)","(-0.013607788085937501, 0.048898315429687506, 0.0450103759765625)",1624955780,966849803
1105293,"(0.014870665036141872, -0.19040930271148682, -0.8961428999900818, 0.40056267380714417)","(-0.002763030817732215, -0.0005492772324942052, -0.0017643449828028679)","(0.024822998046875003, 0.063104248046875, 0.035589599609375)",1624955780,971827983
1105294,"(0.014876196160912514, -0.1904069185256958, -0.8961436748504639, 0.4005618095397949)","(-0.001165133435279131, 0.0015812525525689125, 0.00036618480226024985)","(-0.0228790283203125, 0.029608154296875, 0.0785064697265625)",1624955780,976808309
1105295,"(0.014879414811730385, -0.1904151737689972, -0.8961423635482788, 0.4005606770515442)","(0.005226456094533205, -0.012267190963029861, -0.009221198968589306)","(-0.0037384033203125004, 0.034243774414062504, -0.040972900390625004)",1624955780,981885910
1105296,"(0.01488005742430687, -0.19040219485759735, -0.8961448073387146, 0.4005614221096039)","(-0.0022303983569145203, -0.001081909635104239, 0.003561979392543435)","(-0.0275146484375, -0.0468048095703125, 0.0497955322265625)",1624955780,986834764
1105297,"(0.014877812005579472, -0.19040969014167786, -0.8961432576179504, 0.4005613327026367)","(0.0020306610967963934, -0.006408234126865864, -0.0044275070540606976)","(0.0297576904296875, 0.043963623046875004, 0.026019287109375)",1624955780,991747617
1105298,"(0.014890026301145554, -0.1903896927833557, -0.8961477279663086, 0.4005604088306427)","(0.002563293557614088, 0.002113885013386607, 0.0008988172630779445)","(-0.084637451171875, -0.0179443359375, 0.1550689697265625)",1624955780,997040987
1105299,"(0.014899167232215405, -0.19036228954792023, -0.8961533904075623, 0.40056052803993225)","(0.0004327638598624617, 0.003711782395839691, -0.0076233018189668655)","(-0.08433837890625001, -0.055926513671875004, 0.17391052246093752)",1624955781,2012252
1105300,"(0.014939659275114536, -0.19032786786556244, -0.8961623311042786, 0.4005553424358368)","(-0.0016977658960968256, 0.004244414623826742, 0.005692509468644857)","(-0.1311431884765625, -0.06519775390625, -0.017645263671875)",1624955781,6795406
1105301,"(0.014929150231182575, -0.1903039515018463, -0.8961660265922546, 0.40055882930755615)","(0.0020306610967963934, 0.0010486200917512178, -0.0022969774436205626)","(0.0267669677734375, -0.055178833007812504, 0.2406036376953125)",1624955781,11774301
1105302,"(0.014940308406949043, -0.19030486047267914, -0.8961665630340576, 0.4005567133426666)","(-0.0006325010326690972, -0.004277704283595085, -0.0006990800611674786)","(-0.03529052734375, 0.078656005859375, 0.13054504394531252)",1624955781,16773700
1105303,"(0.014948566444218159, -0.19029417634010315, -0.8961690664291382, 0.40055590867996216)","(0.005226456094533205, 0.0010486200917512178, -0.0076233018189668655)","(-0.044561767578125, 0.0213836669921875, 0.1543212890625)",1624955781,21708250
1105304,"(0.014940056018531322, -0.19027666747570038, -0.8961717486381531, 0.40055859088897705)","(0.004693823400884867, 0.00903810653835535, -0.00016644764400552958)","(0.0031402587890625, -0.09779663085937501, 0.0297576904296875)",1624955781,26735067
1105305,"(0.014940613880753517, -0.19027015566825867, -0.8961729407310486, 0.4005589187145233)","(0.008954882621765137, 0.0031791499350219965, -0.0044275070540606976)","(-0.001495361328125, 0.017047119140625, 0.13024597167968752)",1624955781,31751155
1105306,"(0.014952654018998146, -0.19024820625782013, -0.8961777687072754, 0.40055814385414124)","(-0.00489356042817235, 0.0010486200917512178, -0.006025404669344425)","(-0.11125488281250001, -0.09271240234375, -0.013458251953125002)",1624955781,36861181
1105307,"(0.014949500560760498, -0.1902513951063156, -0.8961769938468933, 0.4005585014820099)","(-0.0016977658960968256, -0.007473499048501253, -0.0017643449828028679)","(0.0370849609375, 0.055627441406250006, 0.120526123046875)",1624955781,41742801
1105308,"(0.014961907640099525, -0.19022178649902344, -0.89618319272995, 0.4005581736564636)","(-0.0016977658960968256, 0.0015812525525689125, 0.00409461185336113)","(-0.053384399414062506, -0.0013458251953125, 0.18258361816406252)",1624955781,46790361
1105309,"(0.014951307326555252, -0.19019874930381775, -0.8961867094039917, 0.4005616009235382)","(-0.0022303983569145203, -0.0005492772324942052, 0.0019640822429209948)","(-0.0007476806640625, -0.134881591796875, 0.019589233398437503)",1624955781,51803112
1105310,"(0.014952121302485466, -0.19018763303756714, -0.8961888551712036, 0.40056219696998596)","(0.008954882621765137, 0.002646517474204302, -0.0038948748260736465)","(-0.019738769531250002, -0.024673461914062503, 0.0817962646484375)",1624955781,56787490
1105311,"(0.014942117966711521, -0.1901792734861374, -0.8961896896362305, 0.4005645513534546)","(0.007356985472142696, 0.002646517474204302, 0.0019640822429209948)","(0.051889038085937506, 0.004336547851562501, 0.18213500976562502)",1624955781,61806917
