seq,orientation,angular velocity,linear acceleration,secs,nsecs
1092979,"(0.04546228423714638, -0.09971713274717331, -0.7287733554840088, 0.6759198904037476)","(-0.012583441101014614, -0.016794566065073013, 0.004760402720421553)","(0.0318511962890625, 0.0, 0.14699401855468752)",1624948028,217134475
1092980,"(0.045469775795936584, -0.09970387071371078, -0.7287750244140625, 0.6759195923805237)","(-0.01045291218906641, -0.018392464146018028, -0.0016311868093907833)","(-0.0683380126953125, 0.0, 0.127703857421875)",1624948028,222153902
1092981,"(0.045482296496629715, -0.0996856614947319, -0.7287773489952087, 0.6759188771247864)","(0.006591326557099819, -0.016261935234069824, -0.00695751141756773)","(-0.096600341796875, 0.024075317382812503, 0.247332763671875)",1624948028,237214803
1092982,"(0.045484624803066254, -0.09961815178394318, -0.7287845015525818, 0.6759210228919983)","(0.001797634526155889, 0.007173893041908741, -0.0026964517310261726)","(-0.052636718750000006, 0.024972534179687502, 0.09390869140625001)",1624948028,238300561
1092983,"(0.045484624803066254, -0.09961815178394318, -0.7287845015525818, 0.6759210228919983)","(0.001797634526155889, 0.007173893041908741, -0.0026964517310261726)","(-0.052636718750000006, 0.024972534179687502, 0.09390869140625001)",1624948028,238734483
1092984,"(0.045484624803066254, -0.09961815178394318, -0.7287845015525818, 0.6759210228919983)","(0.001797634526155889, 0.007173893041908741, -0.0026964517310261726)","(-0.052636718750000006, 0.024972534179687502, 0.09390869140625001)",1624948028,242044687
1092985,"(0.04548965394496918, -0.09963512420654297, -0.7287828922271729, 0.6759198904037476)","(-0.0013981601223349571, 0.01569601148366928, -0.0032290841918438673)","(0.0333465576171875, 0.0629547119140625, -0.09256286621093751)",1624948028,247064590
1092986,"(0.04553427919745445, -0.099616639316082, -0.72878098487854, 0.6759216785430908)","(0.006591326557099819, 0.025283396244049072, -0.002163819270208478)","(0.058169555664062504, 0.019589233398437503, 0.046206665039062504)",1624948028,252126693
1092987,"(0.045516591519117355, -0.09960223734378815, -0.7287818789482117, 0.6759240031242371)","(-0.0013981601223349571, 0.013565482571721077, 0.004760402720421553)","(0.010168457031250001, -0.133087158203125, -0.054431152343750004)",1624948028,257120847
1092988,"(0.045543767511844635, -0.09963802993297577, -0.7287790775299072, 0.6759199500083923)","(0.0039281644858419895, 0.013565482571721077, -0.009620673954486847)","(-0.0041870117187500005, 0.153125, -0.38909301757812503)",1624948028,262148380
1092989,"(0.04558282718062401, -0.09969111531972885, -0.7287636995315552, 0.6759260892868042)","(0.02097240276634693, 0.011434952728450298, 0.0036951375659555197)","(0.15342407226562502, 0.0705810546875, -0.15447082519531252)",1624948028,267090320
1092990,"(0.04558822512626648, -0.09972427040338516, -0.7287604212760925, 0.6759243607521057)","(0.006591326557099819, -0.008805080316960812, -3.3289528801105917e-05)","(0.06699218750000001, -0.011364746093750001, -0.0442626953125)",1624948028,272139549
1092991,"(0.04559146612882614, -0.09972792118787766, -0.7287601232528687, 0.6759239435195923)","(0.011917650699615479, -0.004011387936770916, -0.009088041260838509)","(0.0, 0.0267669677734375, 0.0133087158203125)",1624948028,277096986
1092992,"(0.04551699012517929, -0.09973558038473129, -0.7287566065788269, 0.6759315729141235)","(-0.01364870648831129, -0.019990362226963043, 0.005293034948408604)","(0.07536621093750001, -0.0728240966796875, 0.0275146484375)",1624948028,282098531
1092993,"(0.045472126454114914, -0.09969903528690338, -0.7287796139717102, 0.6759151816368103)","(-0.024301355704665184, -0.015196669846773148, -0.009088041260838509)","(-0.11140441894531251, 0.0095703125, 0.170770263671875)",1624948028,287091255
1092994,"(0.04550129920244217, -0.09970350563526154, -0.7287801504135132, 0.6759119629859924)","(-0.016311869025230408, -0.01466403715312481, 0.006890932098031044)","(-0.082244873046875, 0.1622467041015625, 0.19963073730468753)",1624948028,292135715
1092995,"(0.04545585811138153, -0.09966542571783066, -0.7287977337837219, 0.6759017109870911)","(-0.02217082493007183, -0.005609285552054644, -0.007490143645554781)","(0.0085235595703125, 0.024673461914062503, 0.3907379150390625)",1624948028,297153234
1092996,"(0.04545757174491882, -0.09965577721595764, -0.7287988066673279, 0.6759018301963806)","(-0.007257116958498955, -0.004011387936770916, 0.0004993429174646735)","(-0.029608154296875, 0.0056823730468750005, 0.1849761962890625)",1624948028,302131414
1092997,"(0.04546435922384262, -0.09962081909179688, -0.7288026809692383, 0.6759023666381836)","(-0.002996057504788041, 0.00664126081392169, 0.005825667176395655)","(-0.139068603515625, -0.07536621093750001, 0.18482666015625002)",1624948028,307146787
1092998,"(0.045518841594457626, -0.09964858740568161, -0.728800356388092, 0.6758971214294434)","(0.02789662405848503, 0.010369688272476196, -0.0032290841918438673)","(-0.0668426513671875, -0.0046356201171875, -0.054132080078125006)",1624948028,312096595
1092999,"(0.045523352921009064, -0.09968286752700806, -0.7287968993186951, 0.6758954524993896)","(0.004993429407477379, 0.008239158429205418, -0.011218571104109287)","(0.090618896484375, 0.10960998535156251, -0.1831817626953125)",1624948028,317138433
1093000,"(0.045593395829200745, -0.09971882402896881, -0.728779137134552, 0.6759046316146851)","(0.022037668153643608, 0.015163379721343517, 0.006358299870043993)","(0.0097198486328125, 0.08912353515625, -0.22131347656250003)",1624948028,322161912
1093001,"(0.04558691009879112, -0.09974324703216553, -0.7287763357162476, 0.6759044528007507)","(-0.0024634250439703465, 0.007706525735557079, 0.0100867273285985)","(0.09555358886718751, 0.026617431640625, -0.20680847167968752)",1624948028,327280998
1093002,"(0.04559437930583954, -0.09976805001497269, -0.7287740111351013, 0.675902783870697)","(-0.008322382345795631, 0.004510730970650911, 0.0020972401835024357)","(0.0426177978515625, 0.0740203857421875, -0.22579956054687503)",1624948028,332117557
1093003,"(0.04558414965867996, -0.09978758543729782, -0.7287716269493103, 0.6759032011032104)","(-0.008855014108121395, -0.008272447623312473, 0.004227770026773214)","(0.099591064453125, 0.016448974609375, -0.10138549804687501)",1624948028,337142705
1093004,"(0.0455823615193367, -0.09978277236223221, -0.7287720441818237, 0.6759035587310791)","(-0.014181339181959629, -0.010402977466583252, -0.00855540856719017)","(0.0040374755859375, 0.0213836669921875, 0.22879028320312503)",1624948028,342206239
1093005,"(0.045543916523456573, -0.09978042542934418, -0.7287709712982178, 0.6759076714515686)","(-0.01045291218906641, -0.012000874616205692, -0.006424878723919392)","(0.05607604980468751, -0.078656005859375, 0.09465637207031251)",1624948028,347132682
1093006,"(0.04553073272109032, -0.09975443035364151, -0.7287732362747192, 0.6759099364280701)","(-0.0019307925831526518, -0.014131404459476471, -0.003761716652661562)","(-0.020336914062500003, -0.078057861328125, 0.34348449707031253)",1624948028,352173089
1093007,"(0.045539285987615585, -0.09974468499422073, -0.7287745475769043, 0.6759093999862671)","(-0.00033289528801105917, -0.009870344772934914, 0.004760402720421553)","(-0.048748779296875, 0.051141357421875006, 0.28591308593750003)",1624948028,357108116
1093008,"(0.04552906006574631, -0.0997287929058075, -0.7287758588790894, 0.675911009311676)","(-0.0019307925831526518, -0.006674550473690033, -0.003761716652661562)","(-0.0008972167968750001, -0.0441131591796875, 0.2667724609375)",1624948028,362121582
1093009,"(0.045532844960689545, -0.09969104081392288, -0.7287799715995789, 0.6759119033813477)","(0.004993429407477379, -0.009870344772934914, -0.0016311868093907833)","(-0.13428344726562502, -0.08673095703125, 0.2331268310546875)",1624948028,367121458
1093010,"(0.045558683574199677, -0.09968656301498413, -0.7287812829017639, 0.6759093999862671)","(0.00712395878508687, 0.005575995892286301, -0.0032290841918438673)","(-0.10990905761718751, 0.090020751953125, 0.0800018310546875)",1624948028,372117757
1093011,"(0.045576512813568115, -0.09968505054712296, -0.728782057762146, 0.675907552242279)","(-0.0035286899656057358, 0.00930442288517952, -0.0032290841918438673)","(-0.0713287353515625, 0.0659454345703125, 0.0465057373046875)",1624948028,377153635
1093012,"(0.0455886572599411, -0.09970627725124359, -0.7287802696228027, 0.6759055256843567)","(0.006591326557099819, 0.01090232003480196, -0.01228383556008339)","(0.024224853515625002, 0.1131988525390625, -0.05383300781250001)",1624948028,382134199
1093013,"(0.04560096189379692, -0.09977289289236069, -0.7287737131118774, 0.6759019494056702)","(0.010319753549993038, 0.020489703863859177, 0.0015646078391000628)","(0.1383209228515625, 0.08344116210937501, -0.268865966796875)",1624948028,387100458
1093014,"(0.045621346682310104, -0.09978540241718292, -0.7287731170654297, 0.6758993864059448)","(0.00552606163546443, 0.007706525735557079, -0.0026964517310261726)","(-0.048150634765625006, 0.07820739746093751, -0.19708862304687502)",1624948028,392145872
1093015,"(0.045630477368831635, -0.099813312292099, -0.7287704944610596, 0.675897479057312)","(0.015646077692508698, 0.00504336366429925, 0.0026298726443201303)","(0.052188110351562504, 0.1064697265625, -0.15865783691406252)",1624948028,397179841
1093016,"(0.04562569409608841, -0.09982812404632568, -0.7287688255310059, 0.6758974194526672)","(-0.002996057504788041, -0.014131404459476471, -0.002163819270208478)","(0.06624450683593751, 0.0297576904296875, -0.043664550781250006)",1624948028,402140378
1093017,"(0.04563983529806137, -0.09983604401350021, -0.7287684679031372, 0.6758956909179688)","(0.001797634526155889, -0.013598771765828133, -0.0016311868093907833)","(-0.029458618164062502, 0.0725250244140625, -0.03409423828125)",1624948028,407156705
1093018,"(0.045622825622558594, -0.09984719008207321, -0.728766679763794, 0.6758970618247986)","(-0.008855014108121395, -0.01732719875872135, 0.006890932098031044)","(0.11858215332031251, 0.029458618164062502, 0.22908935546875)",1624948028,412117004
1093019,"(0.04561447352170944, -0.09983715415000916, -0.728767454624176, 0.6758983135223389)","(-0.008322382345795631, -0.018925096839666367, 0.003162505105137825)","(0.0133087158203125, -0.0133087158203125, 0.27215576171875)",1624948028,417173862
1093020,"(0.045598484575748444, -0.09982715547084808, -0.7287679314613342, 0.6759003400802612)","(-0.01364870648831129, -0.016794566065073013, -0.005892246495932341)","(0.046655273437500006, -0.0273651123046875, 0.3342132568359375)",1624948028,422157287
1093021,"(0.0455935038626194, -0.09979832917451859, -0.7287707924842834, 0.6759018301963806)","(-0.008855014108121395, 0.005575995892286301, 0.006358299870043993)","(0.003887939453125, 0.01614990234375, 0.310137939453125)",1624948028,437274217
1093022,"(0.0455935038626194, -0.09979832917451859, -0.7287707924842834, 0.6759018301963806)","(-0.008855014108121395, 0.005575995892286301, 0.006358299870043993)","(0.003887939453125, 0.01614990234375, 0.310137939453125)",1624948028,437929153
1093023,"(0.04560774192214012, -0.09977375715970993, -0.7287738919258118, 0.6759011745452881)","(0.011385018937289715, 0.006108628585934639, -0.0026964517310261726)","(-0.052935791015625004, -0.0267669677734375, -0.048748779296875)",1624948028,439694881
1093024,"(0.04560774192214012, -0.09977375715970993, -0.7287738919258118, 0.6759011745452881)","(0.011385018937289715, 0.006108628585934639, -0.0026964517310261726)","(-0.052935791015625004, -0.0267669677734375, -0.048748779296875)",1624948028,442096471
1093025,"(0.04563675448298454, -0.09979265928268433, -0.7287728786468506, 0.675897479057312)","(0.009254489094018936, 0.011434952728450298, 0.0100867273285985)","(-0.062356567382812506, 0.12097473144531251, -0.2591461181640625)",1624948028,447071552
1093026,"(0.04564109072089195, -0.09984029829502106, -0.7287680506706238, 0.6758953928947449)","(0.002330266870558262, 0.00930442288517952, -0.002163819270208478)","(0.13323669433593752, 0.14415283203125, -0.26378173828125)",1624948028,452144861
1093027,"(0.04564101621508598, -0.09985766559839249, -0.7287662625312805, 0.6758947968482971)","(0.0001997371728066355, 0.008239158429205418, 0.004760402720421553)","(0.037384033203125, -0.004336547851562501, -0.33062438964843754)",1624948028,457262516
1093028,"(0.0456288605928421, -0.0998687669634819, -0.7287646532058716, 0.6758956909179688)","(0.0076565914787352085, 0.00024967145873233676, 0.0026298726443201303)","(0.0705810546875, -0.0426177978515625, -0.19185485839843752)",1624948028,462190389
1093029,"(0.045607611536979675, -0.09989536553621292, -0.7287611365318298, 0.6758970022201538)","(-0.007257116958498955, -0.006674550473690033, -0.0005659219459630549)","(0.1368255615234375, 0.005084228515625001, 0.052188110351562504)",1624948028,467082738
1093030,"(0.04561281576752663, -0.09990008175373077, -0.728760838508606, 0.6758962869644165)","(-0.0019307925831526518, -0.0029461232479661703, -0.009088041260838509)","(-0.0019439697265625, 0.043215942382812504, 0.0378326416015625)",1624948028,472105979
1093031,"(0.04562470316886902, -0.09987669438123703, -0.7287636995315552, 0.6758958697319031)","(0.0028628993313759565, -0.019457729533314705, -0.004294348880648613)","(-0.12112426757812501, -0.023626708984375, 0.12875061035156252)",1624948028,477144718
